plz;ort
24576;Bimîhlen
24576;Mînkloh
24582;Gro· Buchwald
24582;BrÅgge
24582;Bissee
24582;Schînbek
24582;Hoffeld
24582;Wattenbek
24582;Bordesholm
24582;MÅhbrook
24589;DÑtgen
24589;Nortorf
24589;Ellerdorf
24589;Eisendorf
24589;Borgdorf-Seedorf
24589;SchÅlp bei Nortorf
24594;Heinkenborstel
24594;Meezen
24594;Jahrsdorf
24594;Grauel
24594;Tappendorf
24594;Rade bei Hohenwestedt
24594;Wapelfeld
24594;Hohenwestedt
24594;Remmels
24594;Nindorf
24594;Mîrel
24598;Latendorf
24598;HeidmÅhlen
24598;Boostedt
24601;Stolpe
24601;Belau
24601;Ruhwinkel
24601;Wankendorf
24610;Trappenkamp
24610;Gînnebek
24613;Wiedenborstel
24613;Aukrug
24616;Brokstedt
24616;Borstel
24616;Hasenkrug
24616;Sarlhusen
24616;Willenscharen
24616;Hardebek
24616;Armstedt
24619;Bornhîved
24619;RendswÅhren
24619;Tarbek
24620;BînebÅttel
24622;Gnutz
24623;Gro·enaspe
24625;Gro·harrie
24625;Negenharrie
24626;Gro· Kummerfeld
24628;Hartenholm
24629;Kisdorf
24631;Langwedel
24632;Lentfîhrden
24632;Heidmoor
24634;Arpsdorf
24634;Padenstedt
24635;Daldorf
24635;Rickling
24637;Schillsdorf
24638;Schmalensee
24640;Schmalfeld
24640;Hasenmoor
24641;Stuvenborn
24641;HÅttblek
24641;SievershÅtten
24643;StruvenhÅtten
24644;Timmaspe
24644;Krogaspe
24644;Loop
24646;Warder
24647;Ehndorf
24647;Wasbek
24649;Wiemersdorf
24649;Fuhlendorf
24768;Rendsburg
24782;Rickert
24782;BÅdelsdorf
24783;Osterrînfeld
24784;Westerrînfeld
24787;Fockbek
24790;SchÅlldorf
24790;Schacht-Audorf
24790;Ha·moor
24790;Rade bei Rendsburg
24790;Ostenfeld
24791;Alt Duvenstedt
24793;Brammer
24793;Bargstedt
24793;OldenhÅtten
24794;Borgstedt
24794;Neu Duvenstedt
24794;BÅnsdorf
24796;Bovenau
24796;Krummwisch
24796;Bredenbek
24797;Hîrsten
24797;Breiholz
24799;KînigshÅgel
24799;Friedrichsgraben
24799;Christiansholm
24799;Meggerdorf
24799;Friedrichsholm
24800;Elsdorf-WestermÅhlen
24802;Emkendorf
24802;Gro· Vollstedt
24802;Bokel
24803;Tielen
24803;Erfde
24805;Hamdorf
24805;Prinzenmoor
24806;Bargstall
24806;Sophienhamm
24806;Hohn
24806;Lohe-Fîhrden
24808;Jevenstedt
24809;NÅbbel
24811;Ahlefeld
24811;Owschlag
24811;Brekendorf
24813;SchÅlp bei Rendsburg
24814;Sehestedt
24816;Hamweddel
24816;Luhnstedt
24816;Stafstedt
24816;Brinjahe
24817;Tetenhusen
24819;Nienborstel
24819;Haale
24819;EmbÅhren
24819;TodenbÅttel
24837;Schleswig
24848;Alt Bennebek
24848;Klein Bennebek
24848;Klein Rheide
24848;Kropp
24850;HÅsby
24850;LÅrschau
24850;Schuby
24852;SÅderhackstedt
24852;Eggebek
24852;Langstedt
24852;Sollerup
24855;Bollingstedt
24855;JÅbek
24857;Fahrdorf
24857;Borgwedel
24860;Uelsby
24860;Klappholz
24860;Bîklund
24861;Bergenhusen
24863;Bîrm
24864;Goltoft
24864;Brodersby
24866;Busdorf
24867;Dannewerk
24869;Dîrpstedt
24870;Ellingstedt
24872;Gro· Rheide
24873;Havetoft
24875;Havetoftloit
24876;Hollingstedt
24878;Jagel
24878;Lottorf
24879;Idstedt
24879;Neuberend
24881;NÅbel
24882;Schaalby
24884;Geltorf
24884;Selk
24885;Sieverstedt
24887;Silberstedt
24888;Steinfeld
24888;Loit
24890;Stolk
24890;SÅderfahrenstedt
24891;Schnarup-Thumby
24891;Struxdorf
24893;Taarstedt
24894;Twedt
24894;Tolk
24896;Treia
24897;Ulsnis
24899;Wohlde
24937;Flensburg
24937;Flensborg
24939;Flensburg
24939;Flensborg
24941;Flensburg
24941;Flensborg
24941;Jarplund-Weding
24943;Flensburg
24943;Flensborg
24943;Tastrup
24944;Flensburg
24944;Flensborg
24955;Harrislee
24960;GlÅcksburg
24960;Munkbrarup
24963;Jerrishoe
24963;Tarp
24966;Sîrup
24969;Gro·enwiehe
24969;Lindewitt
24972;Quern
24972;Steinbergkirche
24972;Steinberg
24975;Ausacker
24975;MaasbÅll
24975;HÅrup
24975;Husby
24977;Westerholz
24977;Langballig
24977;Grundhof
24977;Ringsberg
24980;Schafflund
24980;Hîrup
24980;WallsbÅll
24980;Nordhackstedt
24980;Meyn
24983;Handewitt
24986;RÅde
24986;Satrup
24988;Sankelmark
24988;Oeversee
24989;Dollerup
24991;Gro·solt
24991;Freienwill
24992;Janneby
24992;Jîrl
24994;Weesby
24994;Jardelund
24994;Osterby
24994;Medelby
24994;Bîxlund
24994;Holt
24996;Ahneby
24996;Sterup
24997;Wanderup
24999;Wees
25335;Altenmoor
25335;Elmshorn
25335;Bokholt-Hanredder
25335;Neuendorf bei Elmshorn
25335;Raa-Besenbek
25336;Klein Nordende
25336;Elmshorn
25337;Elmshorn
25337;Seeth-Ekholt
25337;Kîlln-Reisiek
25348;Blomesche Wildnis
25348;Engelbrechtsche Wildnis
25348;GlÅckstadt
25355;Barmstedt
25355;Bullenkuhlen
25355;Heede
25355;Bevern
25355;Lutzhorn
25355;Gro· Offenseth-Aspern
25358;Sommerland
25358;Hohenfelde
25358;Horst (Holstein)
25361;SÅderau
25361;Elskop
25361;Krempe
25361;Grevenkop
25364;Brande-Hîrnerkirchen
25364;Westerhorn
25364;Osterhorn
25364;Bokel
25365;Klein Offenseth-Sparrieshoop
25368;Kiebitzreihe
25370;Seester
25371;SeestermÅhe
25373;Ellerhoop
25376;Borsfleth
25376;Krempdorf
25377;Kollmar
25379;Herzhorn
25421;Pinneberg
25436;Tornesch
25436;Neuendeich
25436;Uetersen
25436;Heidgraben
25436;Gro· Nordende
25436;Moorrege
25451;Quickborn
25462;Rellingen
25469;Halstenbek
25474;Ellerbek
25474;Hasloh
25474;Bînningstedt
25479;Ellerau
25482;Appen
25485;Langeln
25485;Bilsen
25485;Hemdingen
25486;Alveslohe
25488;Holm
25489;Haseldorf
25489;Haselau
25491;Hetlingen
25492;Heist
25494;Borstel-Hohenraden
25495;Kummerfeld
25497;Prisdorf
25499;Tangstedt
25524;BekmÅnde
25524;Heiligenstedtenerkamp
25524;Itzehoe
25524;Kollmoor
25524;Oelixdorf
25524;Heiligenstedten
25524;Breitenburg
25541;BrunsbÅttel
25548;Stîrkathen
25548;Wittenbergen
25548;Kellinghusen
25548;MÅhlenbarbek
25548;Rosdorf
25548;Auufer
25548;OeschebÅttel
25551;Peissen
25551;Schlotfeld
25551;Lockstedt
25551;Winseldorf
25551;Silzen
25551;Lohbarbek
25551;Hohenlockstedt
25554;Landrecht
25554;Stîrdorf
25554;Moorhusen
25554;Bekdorf
25554;Dammfleth
25554;Kleve
25554;Nortorf
25554;Wilster
25554;Krummendiek
25554;Neuendorf-Sachsenbande
25554;Neuendorf bei Wilster
25554;Sachsenbande
25557;Seefeld
25557;Hanerau-Hademarschen
25557;Steenfeld
25557;Gokels
25557;OldenbÅttel
25557;Bendorf
25557;Beldorf
25557;Thaden
25560;AasbÅttel
25560;Bokhorst
25560;Agethorst
25560;Kaisborstel
25560;Pîschendorf
25560;Puls
25560;Warringholz
25560;Oldenborstel
25560;SiezbÅttel
25560;Hadenfeld
25560;Schenefeld
25563;Wulfsmoor
25563;Hingstheide
25563;Wrist
25563;Quarnstedt
25563;Fîhrden-Barl
25566;LÑgerdorf
25566;Rethwisch
25569;Hodorf
25569;Kremperheide
25569;Bahrenfleth
25569;Krempermoor
25572;Sankt Margarethen
25572;Ecklak
25572;Kudensee
25572;Aebtissinwisch
25572;Landscheide
25572;BÅttel
25573;Beidenfleth
25575;Beringstedt
25576;Brokdorf
25578;Neuenbrook
25578;DÑgeling
25579;Fitzbek
25579;Rade
25581;Poyenberg
25581;Hennstedt
25582;Looft
25582;Drage
25582;Kaaks
25582;Hohenaspe
25584;Besdorf
25584;Holstenniendorf
25585;Tackesdorf
25585;LÅtjenwestedt
25587;MÅnsterdorf
25588;Oldendorf
25588;Huje
25588;Mehlbek
25590;Osterstedt
25591;OttenbÅttel
25593;Reher
25593;Christinenthal
25594;Vaale
25594;Nutteln
25594;Vaalermoor
25596;Gribbohm
25596;Bokelrehm
25596;Wacken
25596;NienbÅttel
25597;Breitenberg
25597;Westermoor
25597;Moordiek
25597;Kronsmoor
25597;Moordorf
25599;Wewelsfleth
25693;Sankt Michaelisdonn
25693;Volsemenhusen
25693;Gudendorf
25693;Trennewurth
25704;Nindorf
25704;ElpersbÅttel
25704;Nordermeldorf
25704;Wolmersdorf
25704;Meldorf
25704;Epenwîhrden
25704;Bargenstedt
25709;Marne
25709;Marnerdeich
25709;Helse
25709;Kronprinzenkoog
25709;Kaiser-Wilhelm-Koog
25709;Diekhusen-Fahrstedt
25712;Kuden
25712;Hochdonn
25712;Burg (Dithmarschen)
25712;Gro·enrade
25712;Quickborn
25712;Buchholz
25712;Brickeln
25715;Averlak
25715;Ramhusen
25715;Eddelak
25715;Dingen
25718;Friedrichskoog
25719;Busenwurth
25719;Barlt
25721;Eggstedt
25724;Neufeld
25724;Neufelderkoog
25724;Schmedeswurth
25725;Schafstedt
25725;Bornholt
25727;Frestedt
25727;SÅderhastedt
25727;Krumstedt
25729;Windbergen
25746;Ostrohe
25746;Lohe-Rickelshof
25746;Heide
25746;Norderwîhrden
25746;Wesseln
25761;Hedwigenkoog
25761;Oesterdeichstrich
25761;Warwerort
25761;Westerdeichstrich
25761;BÅsum
25761;BÅsumer Deichhausen
25764;Oesterwurth
25764;Friedrichsgabekoog
25764;Wesselburen
25764;SÅderdeich
25764;SchÅlp
25764;Hillgroven
25764;Norddeich
25764;Wesselburener-Deichhausen
25764;Hellschen-Heringsand-Unterschaar
25764;Wesselburenerkoog
25764;ReinsbÅttel
25767;Arkebek
25767;Osterrade
25767;OffenbÅttel
25767;Bunsoh
25767;TensbÅttel-Rîst
25767;WennbÅttel
25767;Albersdorf
25770;Hemmingstedt
25770;Lieth
25774;Hemme
25774;Lehe
25774;Krempel
25774;Lunden
25774;Karolinenkoog
25774;Groven
25776;Schlichting
25776;Sankt Annen
25776;Rehm-Flehde-Bargen
25779;Kleve
25779;Hennstedt
25779;HÑgen
25779;Bergewîhrden
25779;Wiemerstedt
25779;SÅderheistedt
25779;Norderheistedt
25779;GlÅsing
25779;Fedderingen
25782;SÅderdorf
25782;Gaushorn
25782;Westerborstel
25782;WelmbÅttel
25782;Hîvede
25782;Schalkholz
25782;Tellingstedt
25782;Schrum
25785;SarzbÅttel
25785;Odderade
25785;Nordhastedt
25786;Dellstedt
25788;Hollingstedt
25788;Wallen
25788;Delve
25791;Linden
25791;Barkenholm
25792;Neuenkirchen
25792;StrÅbbel
25794;Dîrpling
25794;Tielenhemme
25794;Pahlen
25795;Stelle-Wittenwurth
25795;Weddingstedt
25797;Wîhrden
25799;Wrohm
25813;Schwesing
25813;Husum
25813;SÅdermarsch
25813;Simonsberg
25821;Almdorf
25821;Breklum
25821;Reu·enkîge
25821;Vollstedt
25821;Bredstedt
25821;Struckum
25821;SînnebÅll
25826;Sankt Peter-Ording
25832;Tînning
25832;KotzenbÅll
25836;Welt
25836;Katharinenheerd
25836;Garding
25836;Grothusenkoog
25836;PoppenbÅll
25836;Kirchspiel Garding
25836;Osterhever
25836;Vollerwiek
25840;KoldenbÅttel
25840;Friedrichstadt
25842;Langenhorn
25842;Bargum
25842;LÅtjenholm
25842;Ockholm
25845;Nordstrand
25845;Elisabeth-Sophien-Koog
25849;Pellworm
25850;Bondelum
25850;Behrendorf
25852;Bordelum
25853;Ahrenshîft
25853;Drelsdorf
25853;Bohmstedt
25855;Haselund
25856;Hattstedt
25856;WobbenbÅll
25856;Hattstedtermarsch
25858;Hîgel
25859;Hooge
25860;Horstedt
25860;Olderup
25860;Arlewatt
25862;Goldebek
25862;Kolkerheide
25862;Goldelund
25862;Joldelund
25863;Langene·
25864;Lîwenstedt
25866;Mildstedt
25868;Norderstapel
25869;Grîde
25870;Norderfriedrichskoog
25870;Oldenswort
25872;Ostenfeld
25872;Wittbek
25873;Oldersbek
25873;Rantrum
25875;SchobÅll
25876;Wisch
25876;SÅderhîft
25876;Ramstedt
25876;Fresendelf
25876;Schwabstedt
25876;Hude
25878;Drage
25878;Seeth
25879;SÅderstapel
25881;Augustenkoog
25881;Westerhever
25881;TÅmlauer Koog
25881;Tating
25882;TetenbÅll
25884;Sollwitt
25884;Viîl
25884;Norstedt
25885;Ahrenviîlfeld
25885;Ahrenviîl
25885;Immenstedt
25885;Oster-Ohrstedt
25885;Wester-Ohrstedt
25887;Winnert
25889;Witzwort
25889;UelvesbÅll
25899;GalmsbÅll
25899;NiebÅll
25899;BosbÅll
25899;DagebÅll
25899;KlixbÅll
25917;Enge-Sande
25917;Stadum
25917;Tinningstedt
25917;Leck
25917;SprakebÅll
25917;Achtrup
25920;Stedesand
25920;Risum-Lindholm
25923;Humptrup
25923;Braderup
25923;Ellhîft
25923;SÅderlÅgum
25923;Lexgaard
25923;Holm
25923;Uphusum
25924;RodenÑs
25924;EmmelsbÅll-HorsbÅll
25924;KlanxbÅll
25924;Friedrich-Wilhelm-LÅbke-Koog
25926;Karlum
25926;Ladelund
25926;Bramstedtlund
25926;Westre
25927;Aventoft
25927;Neukirchen
25938;Dunsum
25938;Midlum
25938;Oevenum
25938;SÅderende
25938;Oldsum
25938;Wyk auf Fîhr
25938;Alkersum
25938;Wrixum
25938;Borgsum
25938;Nieblum
25938;Witsum
25938;Utersum
25946;WittdÅn
25946;Nebel
25946;Norddorf
25980;Rantum
25980;Westerland
25980;Sylt-Ost
25992;List
25996;Wenningstedt
25997;Hîrnum
25999;Kampen
27498;Helgoland
